a1sCodeSect;a1dBasinArea;a1dMask;a1dLat;a1dLon;a1dYgrid;a1dXgrid;a1sDescSect;a1sBasin;a1sRatingCurve;a1dQpresogl;a1dQguard;a1dQesond;a1dQAmax;a1dQ2;a1dQ2_9;a1dQ5;a1dQ10;a1dQ20;a1dQ30;a1dQ50;a1dQ100;a1dQ200;a1sCodeIdr;a1dLatIdr;a1dLonIdr;a1dHZeroIdr;a1dYpresogl;a1dYguard;a1dYesond;a1dDt
ACQULE;18;3;44.44251;8.74752;321;506;Acquasanta foce;tra Teiro e Varenna;no;NA;NA;NA;NA;52;65;84;117;161;189;227;277;328;NA;NA;NA;NA;NA;NA;NA;NA
AIROLE;450;NA;43.87296;7.54484;105;66;Roja ad Airole;Roja;si;NA;500;680;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;AIROL;43.87296;7.54484;90.11;3.5;3.7;5;15
AMEF00;1581;1;44.07884;9.9722;146;949;Magra ad Ameglia;Basso Magra;no;NA;NA;NA;NA;972;1215;1568;2173;2990;3525;4218;5166;6102;AMEFM;44.07884;9.9722;-0.24;1.7;2;3.3;15
ARGCAP;84;4;43.98446;7.78481;101;157;Argentina a Molini di Triora;Argentina;no;NA;NA;NA;NA;174;217;280;388;534;630;754;923;1091;NA;NA;NA;NA;NA;NA;NA;NA
ARGE00;210;1;43.8311;7.8601;26;184;Argentina foce;Argentina;no;NA;NA;NA;NA;316;395;510;706;972;1145;1371;1679;1983;NA;NA;NA;NA;NA;NA;NA;NA
ARGE01;130;3;43.93074;7.84202;75;177;Argentina a Montalto Ligure;Argentina;no;NA;NA;NA;NA;241;301;389;539;742;874;1046;1281;1513;MONTL;43.93074;7.84202;94.31;4.8;5;7;15
ARGEME;192;2;43.88137;7.84759;51;180;Argentina a Merelli;Argentina;si;NA;NA;NA;NA;295;369;476;660;908;1071;1281;1570;1854;AMERE;43.88137;7.84759;49.16;2.5;3;4.5;15
ARME00;38;1;43.81983;7.83775;20;176;Armea foce;tra Nervia e Argentina;no;NA;NA;NA;NA;74;93;120;166;228;269;322;394;465;NA;NA;NA;NA;NA;NA;NA;NA
ARMVAL;35;2;43.83551;7.81883;29;169;Armea a Valle Armea;tra Nervia e Argentina;no;NA;NA;NA;NA;70;87;112;156;215;253;303;371;438;ARMEA;43.83551;7.81883;NA;1.1;1.3;2;15
ARRE00;25;1;44.37998;8.6333;292;465;Arrestra foce;tra Teiro e Varenna;no;NA;NA;NA;NA;70;87;113;156;215;253;303;371;438;NA;NA;NA;NA;NA;NA;NA;NA
ARRO01;87;3;44.04149;7.9206;127;209;Arroscia a Pieve di Teco;Centa;no;NA;NA;NA;NA;137;171;220;306;420;496;593;726;858;PTECH;44.04149;7.9206;219.78;3.7;4;5;15
AULE00;316;4;44.2061;9.9693;208;949;Aulella ad Aulla;Alto Magra;no;NA;NA;NA;NA;291;363;469;650;894;1054;1261;1544;1824;NA;NA;NA;NA;NA;NA;NA;NA
AULSOL;203;5;44.20233;10.06207;205;980;Aulella a Soliera;Alto Magra;si;NA;NA;NA;NA;209;261;336;466;641;756;905;1108;1309;SOLIE;44.20233;10.06207;105.55;3.2;3.5;4.5;15
AVECAB;42;2;44.4952;9.34647;346;722;Aveto a Cabanne;Trebbia - Aveto;si;NA;NA;NA;NA;82;103;133;184;253;298;357;437;516;CABAN;44.4952;9.34647;808.45;1.3;1.6;2.7;10
AVESAL;199;8;44.63272;9.4054;412;742;Aveto a Salsominore;Trebbia - Aveto;si;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
AVET00;183;1;44.60064;9.40587;398;743;Aveto confine;Trebbia - Aveto;no;NA;NA;NA;NA;306;383;494;684;941;1110;1328;1626;1921;NA;NA;NA;NA;NA;NA;NA;NA
BAGNMA;NA;NA;44.2862;9.9478;NA;NA;Magra a valle confluenza Bagnone;Alto Magra;no;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BAGNON;53;4;44.31747;9.98339;261;959;Bagnone a Bagnone;Alto Magra;no;NA;NA;NA;NA;76;95;123;170;234;276;330;405;478;BGNNE;44.31747;9.98339;NA;1.9;2;3;15
BARDNE;304;NA;44.1995;9.9877;206;957;Aulella a valle confluenza Bardine;Alto Magra;no;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BISA00;93;1;44.41094;8.95395;302;581;Bisagno Firpo;Bisagno;si;NA;NA;NA;NA;207;258;333;462;635;749;896;1097;1296;FIRPO;44.41094;8.95395;5.86;2;2.5;4.2;15
BISMOL;61;2;44.45433;8.98654;326;591;Bisagno a Molassana;Bisagno;no;NA;NA;NA;NA;128;160;206;286;394;464;555;680;803;GEMOL;44.45433;8.98654;NA;2.2;2.6;3.5;15
BOAT00;26;1;44.3466;9.22879;274;681;Boate foce;tra Bisagno ed Entella;no;NA;NA;NA;NA;60;75;97;135;186;219;262;321;379;NA;NA;NA;NA;NA;NA;NA;NA
BOLSTE;25;2;44.37234;8.57322;288;443;Teiro a Bolsine;Sansobbia - Teiro;si;NA;NA;NA;NA;62;78;101;140;192;226;271;332;392;BOLSN;44.37234;8.57322;23.5;1.5;1.8;2.5;15
BOVARA;344;4;44.23132;9.71552;222;855;Vara a Borghetto Vara;Vara;si;NA;NA;NA;NA;344;430;554;768;1057;1246;1491;1826;2157;BVARA;44.23132;9.71552;100.25;2.2;2.8;3.8;15
BRUDIG;25;7;44.53713;9.20679;367;671;Brugneto monte diga;Trebbia - Aveto;no;NA;NA;NA;NA;60;75;96;134;184;217;260;318;375;NA;NA;NA;NA;NA;NA;NA;NA
BUSALT;2;4;44.57308;8.9452;383;576;Busalletta a Busalla;Stura - Scrivia;no;26;NA;NA;34;8;10;12;17;24;28;33;41;48;NA;NA;NA;NA;NA;NA;NA;NA
BUSDIG;7;7;44.56841;8.92385;382;569;Busalletta monte diga;Stura - Scrivia;no;NA;NA;NA;NA;23;29;38;52;72;85;102;125;147;NA;NA;NA;NA;NA;NA;NA;NA
CAIROM;165;2;44.4039;8.2708;303;336;Bormida di Spigno a Cairo Montenotte;Bormida di Spigno;no;NA;NA;NA;NA;223;279;360;499;686;809;968;1186;1401;NA;NA;NA;NA;NA;NA;NA;NA
CALAMA;868;3;44.19802;9.95015;202;940;Magra a Calamazza;Alto Magra;si;NA;NA;NA;NA;620;775;1000;1386;1907;2248;2690;3295;3892;CALAM;44.19802;9.95015;44.57;3.5;4;5.7;15
CAMINA;40;2;44.34004;9.41004;271;745;Graveglia a Caminata;Entella;si;NA;NA;NA;NA;93;117;151;209;287;339;405;496;586;CAMIN;44.34004;9.41004;85.9;1.7;1.9;2.8;15
CAMPST;70;2;44.54256;8.6939;370;486;Stura a Campo Ligure;Stura - Scrivia;no;NA;NA;NA;NA;172;215;277;384;528;623;745;912;1078;CAMPL;44.54256;8.6939;NA;2.3;2.5;4;15
CAPRIO;293;NA;44.337;9.9088;275;929;Magra a valle confluenza Caprio;Alto Magra;no;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
CARA00;17;1;43.8723;8.01116;46;238;Caramagna foce;tra Argentina e Impero;no;NA;NA;NA;NA;28;35;45;62;85;100;120;147;174;NA;NA;NA;NA;NA;NA;NA;NA
CARASC;290;2;44.34615;9.34825;275;723;Lavagna a Carasco;Entella;si;NA;470;710;NA;454;568;732;1015;1397;1647;1970;2413;2850;CARAS;44.34615;9.34825;12.8;4.5;4.9;5.8;15
CARCAR;58;3;44.35662;8.28944;281;339;Bormida di Spigno a Carcare;Bormida di Spigno;no;NA;NA;NA;NA;83;104;134;186;256;302;361;442;522;CARCA;44.35662;8.28944;345.25;2;2.3;2.8;15
CAST00;23;1;44.21562;9.51876;212;785;Castagnola foce;tra Entella e Magra;no;NA;NA;NA;NA;55;69;89;123;169;200;239;293;346;NA;NA;NA;NA;NA;NA;NA;NA
CENGIO;202;1;44.38987;8.20417;296;309;Bormida di Millesimo a Cengio;Bormida di Millesimo;si;NA;NA;NA;NA;247;309;399;553;761;897;1073;1314;1552;CENGI;44.38987;8.20417;402.45;2.5;3;4;15
CERU00;25;1;44.42785;8.74244;314;504;Cerusa foce;tra Teiro e Varenna;no;NA;NA;NA;NA;92;115;148;206;283;334;399;489;578;NA;NA;NA;NA;NA;NA;NA;NA
CERV00;23;1;43.92185;8.10668;71;274;Cervo foce;tra Impero e Centa;no;NA;NA;NA;NA;34;43;55;77;105;124;149;182;215;NA;NA;NA;NA;NA;NA;NA;NA
CHIA00;12;1;44.4213;8.85351;309;543;Chiaravagna foce;Varenna - Polcevera;no;NA;NA;NA;NA;38;47;61;84;116;137;164;201;237;NA;NA;NA;NA;NA;NA;NA;NA
CRIXIA;250;1;44.48618;8.30735;342;348;Bormida di Spigno a Piana Crixia;Bormida di Spigno;si;NA;NA;NA;NA;291;364;470;651;896;1056;1263;1547;1827;PCRIX;44.48618;8.30735;259.72;3.8;4;5;30
DOLCEA;163;2;43.86053;7.62411;41;98;Nervia a Dolceacqua;Nervia;no;NA;NA;NA;NA;276;345;445;617;850;1001;1198;1468;1734;DCQUA;43.86053;7.62411;58.68;3.7;4;5;15
DRICCO;479;NA;44.20258;9.77921;204;876;Vara a valle confluenza Di Ricco;Vara;no;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
DURASC;590;NA;44.16275;9.87378;188;910;Vara a valle confluenza Durasca;Vara;no;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ERRCAR;179;8;44.5741;8.4219;384;389;Erro a Cartosio;Erro - Orba;si;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ERRO00;130;1;44.52262;8.46982;361;405;Erro confine;Erro - Orba;no;NA;NA;NA;NA;162;203;261;362;498;587;703;861;1017;NA;NA;NA;NA;NA;NA;NA;NA
FERRAN;55;3;44.36694;8.32248;285;352;Bormida di Spigno a Ferrania;Bormida di Spigno;si;NA;NA;NA;NA;96;121;156;216;297;350;418;512;605;FERRA;44.36694;8.32248;351.38;2.7;3;3.5;15
FORNOL;1507;2;44.13805;9.90619;177;926;Magra a Fornola;Basso Magra;no;NA;NA;NA;NA;938;1173;1513;2097;2885;3400;4069;4983;5886;FRNLA;44.13805;9.90619;9.87;3.6;3.8;5;15
GATTOR;62;4;44.42817;9.18495;315;664;Lavagna a Gattorna;Entella;no;NA;NA;NA;NA;141;176;227;314;432;509;610;747;882;NA;NA;NA;NA;NA;NA;NA;NA
GHIA00;15;1;44.17123;9.60839;190;817;Ghiararo foce;tra Entella e Magra;no;NA;NA;NA;NA;42;53;68;95;130;153;184;225;266;NA;NA;NA;NA;NA;NA;NA;NA
GOTTER;245;NA;44.27496;9.66087;246;838;Vara a valle confluenza Gottero;Vara;no;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
GRVEGL;513;NA;44.1967;9.8169;204;885;Vara a valle confluenza Graveglia;Vara;no;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
GRVEGN;407;NA;44.2219;9.73;221;860;Vara a valle confluenza Gravegnola e Pogliaschina;Vara;no;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
IMPE00;94;1;43.8868;8.0371;55;250;Impero foce;Impero;no;NA;NA;NA;NA;134;167;216;299;411;485;580;711;840;NA;NA;NA;NA;NA;NA;NA;NA
IMPERU;74;2;43.94153;8.00619;80;237;Impero a Rugge di Pontedassio;Impero;no;NA;NA;NA;NA;112;140;180;250;344;405;485;594;702;RUGGE;43.94153;8.00619;70;1.3;1.6;2.7;15
IMPTRE;34;3;43.97589;7.9689;97;223;Impero a San Lazzaro;Impero;no;NA;NA;NA;NA;54;67;87;120;166;195;234;286;338;NA;NA;NA;NA;NA;NA;NA;NA
LAMACC;164;6;44.32323;9.61484;265;819;Vara a La Macchia;Vara;no;NA;NA;NA;NA;217;271;349;484;666;785;939;1150;1359;LAMAC;44.32323;9.61484;258.8;0.4;0.5;0.8;15
LAPRES;34;3;44.44076;9.04717;320;614;Bisagno a La Presa;Bisagno;no;NA;NA;NA;NA;80;100;129;178;246;290;346;424;501;LAPRS;44.44076;9.04717;145.16;1.7;1.9;2.5;15
LAVA01;161;3;44.35945;9.34391;281;721;Lavagna a S. Martino;Entella;si;NA;290;435;NA;302;377;487;675;928;1094;1310;1604;1895;SMART;44.35945;9.34391;23.34;1.8;2.3;3.2;15
LEIR00;28;1;44.42768;8.75195;314;506;Leira foce;tra Teiro e Varenna;no;NA;NA;NA;NA;76;95;123;171;235;277;331;406;479;NA;NA;NA;NA;NA;NA;NA;NA
LERO00;21;1;44.39156;8.66473;295;475;Lerone foce;tra Teiro e Varenna;no;NA;NA;NA;NA;75;93;120;167;229;271;324;396;468;NA;NA;NA;NA;NA;NA;NA;NA
LETI00;53;1;44.30082;8.47734;254;409;Letimbro foce;tra Quiliano e Sansobbia;no;NA;NA;NA;NA;114;143;184;255;351;414;495;606;716;NA;NA;NA;NA;NA;NA;NA;NA
LICTAV;84;4;44.24267;10.00343;223;960;Tavarone a Licciana Nardi;Alto Magra;no;NA;NA;NA;NA;108;135;174;241;331;390;467;572;675;LICCN;44.24267;10.00343;NA;2.3;2.5;3.5;15
MAGR01;166;4;44.36184;9.89666;283;920;Magra a Pontremoli;Alto Magra;si;NA;NA;NA;NA;179;224;289;401;552;650;778;953;1125;MAGSG;44.36184;9.89666;199.3;1.1;1.4;2.1;15
MANGIA;340;NA;44.24;9.6956;232;851;Vara a valle confluenza Mangia;Vara;no;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
MARE00;45;1;44.15067;8.28671;182;339;Maremola foce;tra Centa e Quiliano;no;NA;NA;NA;NA;96;121;156;216;297;350;418;512;605;NA;NA;NA;NA;NA;NA;NA;NA
MERETA;268;1;44.6631;8.9411;427;576;Scrivia a Mereta;Stura - Scrivia;no;NA;NA;NA;NA;407;509;657;911;1253;1477;1767;2165;2557;NA;NA;NA;NA;NA;NA;NA;NA
MERU00;49;1;43.94868;8.14334;85;288;Merula foce;tra Impero e Centa;no;NA;NA;NA;NA;73;91;117;162;223;263;315;386;456;NA;NA;NA;NA;NA;NA;NA;NA
MLCQUA;309;NA;44.24481;9.68547;229;843;Vara a valle confluenza Malacqua;Vara;no;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
