a1sCodeSect;a1dBasinArea;a1dMask;a1dLat;a1dLon;a1dYgrid;a1dXgrid;a1sDescSect;a1sBasin;a1sRatingCurve;a1dQpresogl;a1dQguard;a1dQesond;a1dQAmax;a1dQ2;a1dQ2_9;a1dQ5;a1dQ10;a1dQ20;a1dQ30;a1dQ50;a1dQ100;a1dQ200;a1sCodeIdr;a1dLatIdr;a1dLonIdr;a1dHZeroIdr;a1dYpresogl;a1dYguard;a1dYesond;a1dDt
MNGIOL;325;NA;44.3196;9.9313;265;931;Magra a valle confluenza Mangiola;Alto Magra;no;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
MOLIBR;426;1;44.04882;8.21077;132;311;Centa a Molino Branca;Centa;no;NA;NA;NA;NA;415;519;669;927;1276;1504;1799;2204;2603;MOBRA;44.04882;8.21077;-0.2;3.5;4;4.8;15
MOLINE;27;2;44.43946;8.74603;320;505;Leira a Molinetto;tra Teiro e Varenna;no;NA;NA;NA;NA;74;93;120;166;228;269;322;395;466;MOLIN;44.43946;8.74603;20.35;2;2.2;3.2;15
MURIAL;134;2;44.31321;8.15981;260;293;Bormida di Millesimo a Murialdo;Bormida di Millesimo;si;NA;NA;NA;NA;196;245;316;437;602;709;849;1039;1228;MURIA;44.31321;8.15981;511.06;1.7;2;2.5;30
NASCET;202;5;44.27808;9.65595;241;834;Vara a Nasceto;Vara;si;NA;NA;NA;NA;253;316;408;566;778;918;1098;1345;1588;NASCE;44.27808;9.65595;183.17;4;4.5;5.5;15
NERV00;187;1;43.78604;7.63049;4;100;Nervia foce;Nervia;no;NA;NA;NA;NA;306;383;494;684;942;1110;1328;1627;1922;NA;NA;NA;NA;NA;NA;NA;NA
NERV01;122;3;43.87765;7.63767;48;102;Nervia a Isolabona;Nervia;no;NA;NA;NA;NA;221;276;356;494;679;801;958;1173;1386;ISBON;43.87765;7.63767;89.26;3;3.3;4.3;15
NERVBU;13;5;43.95756;7.68431;88;120;Nervia a Buggio;Nervia;no;46;NA;NA;61;42;52;67;93;128;151;180;221;261;NA;NA;NA;NA;NA;NA;NA;NA
NERVMA;20;4;43.93579;7.68039;79;120;Nervia a Madonna del Ponte;Nervia;no;112;NA;NA;149;54;68;88;121;167;197;236;289;341;NA;NA;NA;NA;NA;NA;NA;NA
NEVCIS;126;2;44.08552;8.14573;150;288;Neva a Cisano;Centa;si;NA;NA;NA;NA;212;265;342;473;651;768;919;1125;1329;CISAN;44.08552;8.14573;37.92;2.5;2.8;4;15
NOCDIG;7;7;44.49311;9.03527;346;610;Val Noci monte diga;Stura - Scrivia;no;NA;NA;NA;NA;25;31;40;56;77;90;108;132;156;NA;NA;NA;NA;NA;NA;NA;NA
NRVI00;9;1;44.38351;9.0333;292;610;Nervi foce;tra Bisagno ed Entella;no;NA;NA;NA;NA;33;41;53;74;102;120;144;176;208;NA;NA;NA;NA;NA;NA;NA;NA
OSIDIG;21;7;44.31022;8.19766;257;306;Osiglia monte diga;Bormida di Millesimo;no;NA;NA;NA;NA;37;47;60;83;115;135;162;198;234;NA;NA;NA;NA;NA;NA;NA;NA
OSIGLT;7;2;44.32452;8.20649;264;309;Osiglietta a Cascina Piana;Bormida di Millesimo;no;8;NA;NA;10;20;25;33;45;62;74;88;108;127;NA;NA;NA;NA;NA;NA;NA;NA
PANESI;358;1;44.34209;9.35624;268;723;Entella a Panesi;Entella;si;NA;600;900;NA;535;669;863;1196;1646;1940;2322;2844;3359;PANES;44.34209;9.35624;7.85;2.3;2.8;3.9;15
PBATTO;555;3;44.19801;9.84904;202;906;Vara a Piana Battolla;Vara;si;NA;NA;NA;NA;492;615;793;1100;1513;1784;2134;2614;3088;PBATT;44.19801;9.84904;36.01;3.5;4;5;15
PENBOR;35;5;44.4202;9.3893;312;739;Penna a Borzonasca;Entella;no;128;170;350;170;92;115;148;205;282;333;398;488;576;NA;NA;NA;NA;NA;NA;NA;NA
PENNEV;70;3;44.09046;8.12891;152;280;Pennavaira a Martinetto;Centa;no;NA;NA;NA;NA;121;151;195;271;373;439;526;644;761;NA;NA;NA;NA;NA;NA;NA;NA
PICCAT;79;6;44.39297;9.88566;297;917;Magra a Piccatello;Alto Magra;no;NA;NA;NA;NA;103;128;166;230;316;373;446;546;645;PICCA;44.39297;9.88566;248;1.9;2;2.7;15
PIGNON;447;NA;44.21351;9.75602;211;869;Vara a valle confluenza Pignone;Vara;no;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
POLC00;140;1;44.41207;8.87713;306;553;Polcevera foce;Varenna - Polcevera;no;NA;NA;NA;NA;280;350;451;625;860;1014;1213;1486;1755;NA;NA;NA;NA;NA;NA;NA;NA
POLCAM;131;2;44.43788;8.88952;319;557;Polcevera a Campi;Varenna - Polcevera;no;NA;NA;NA;NA;266;333;430;595;819;966;1156;1415;1672;GERIV;44.43788;8.88952;NA;3.6;3.8;5;15
PONTEX;58;3;44.48852;8.9001;348;561;Polcevera a Pontedecimo;Varenna - Polcevera;si;NA;NA;NA;NA;129;161;208;288;397;467;559;685;809;GEPTX;44.48852;8.9001;67.39;2.6;2.8;4.2;15
PORA00;61;1;44.16801;8.34032;189;360;Pora foce;tra Centa e Quiliano;no;NA;NA;NA;NA;136;169;218;303;417;491;588;720;850;NA;NA;NA;NA;NA;NA;NA;NA
PORTOV;199;2;44.05445;8.06393;134;258;Arroscia a Pogli di Ortovero;Centa;si;NA;NA;NA;NA;272;340;438;607;835;985;1178;1443;1705;POGLI;44.05445;8.06393;59.35;3.3;3.5;5;15
POSARA;55;1;44.27;9.42966;238;752;Petronio a Pozzo Sara;tra Entella e Magra;no;NA;NA;NA;NA;115;144;185;257;354;417;499;611;722;NA;NA;NA;NA;NA;NA;NA;NA
POSLEV;22;1;44.27377;9.40992;240;742;Gromolo a Sestri Levante;tra Entella e Magra;no;NA;NA;NA;NA;59;73;95;131;180;213;254;312;368;SLEVA;44.27377;9.40992;3.9;1.3;1.5;2.5;15
PPOGGI;35;2;44.36756;8.46619;285;403;Sansobbia a Ponte Poggi;Sansobbia - Teiro;no;NA;NA;NA;NA;80;101;130;180;247;292;349;427;505;NA;NA;NA;NA;NA;NA;NA;NA
PRIN00;42;1;43.86859;7.99885;44;233;Prino foce;tra Argentina e Impero;no;NA;NA;NA;NA;86;107;139;192;264;311;373;456;539;NA;NA;NA;NA;NA;NA;NA;NA
PTEGLI;9;4;44.33678;9.89905;269;927;Teglia a Ponte Teglia;Alto Magra;no;NA;NA;NA;NA;24;30;38;53;73;86;103;126;148;PTEGL;44.33678;9.89905;NA;2.7;3;4;15
QUAZQU;17;2;44.29141;8.41726;250;386;Quazzola a Quiliano;tra Quiliano e Sansobbia;no;NA;NA;NA;NA;47;59;75;105;144;170;203;249;294;NA;NA;NA;NA;NA;NA;NA;NA
QUIL00;53;1;44.28144;8.44392;243;397;Quiliano foce;tra Quiliano e Sansobbia;no;NA;NA;NA;NA;138;173;223;309;425;501;599;734;867;NA;NA;NA;NA;NA;NA;NA;NA
RECC00;22;1;44.36166;9.141;282;649;Recco foce;tra Bisagno ed Entella;no;NA;NA;NA;NA;64;80;103;142;196;231;276;338;400;NA;NA;NA;NA;NA;NA;NA;NA
ROBREI;433;NA;43.9372;7.51699;96;64;Roja a Breil;Roja;no;NA;480;650;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
RODISC;155;NA;43.82055;7.570885;134;83;Bevera a Discarica;Roja;no;NA;350;500;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ROSOSP;92;NA;43.87808;7.4509;115;44;Bevera a Sospello;Roja;no;NA;250;350;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ROSSIG;90;1;44.5656;8.6672;381;477;Stura a Rossiglione;Stura - Scrivia;no;NA;NA;NA;NA;206;257;332;460;633;746;892;1093;1291;NA;NA;NA;NA;NA;NA;NA;NA
ROTES1;246;NA;44.0485;7.5872;58;87;Roja a Testata;Roja;no;NA;370;450;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ROVEGN;104;2;44.56529;9.28156;381;698;Trebbia a Rovegno;Trebbia - Aveto;si;NA;NA;NA;NA;178;222;287;398;547;645;772;945;1117;ROVPT;44.56529;9.28156;571.58;3.7;4;5.5;15
ROVENT;650;NA;43.79307;7.60419;141;90;Roja alla foce;Roja;no;NA;550;700;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
RUPI00;11;1;44.31648;9.31866;261;711;Rupinaro foce;tra Bisagno ed Entella;no;NA;NA;NA;NA;32;40;52;71;98;116;139;170;201;NA;NA;NA;NA;NA;NA;NA;NA
SANS00;70;1;44.32931;8.50887;265;418;Sansobbia foce;Sansobbia - Teiro;no;NA;NA;NA;NA;195;244;314;436;599;707;846;1036;1223;ALBIS;44.32931;8.50887;0;2;2.4;3.2;15
SANTUA;32;2;44.34555;8.43753;275;394;Letimbro a Santuario;tra Quiliano e Sansobbia;no;NA;NA;NA;NA;74;93;119;166;228;268;321;393;465;SANTU;44.34555;8.43753;87;1.8;2;3.2;15
SCIU00;24;1;44.17178;8.35622;190;364;Sciusa foce;tra Centa e Quiliano;no;NA;NA;NA;NA;47;58;75;104;144;169;202;248;293;NA;NA;NA;NA;NA;NA;NA;NA
SCRBUS;162;3;44.58154;8.94062;388;576;Scrivia a Busalla;Stura - Scrivia;no;NA;NA;NA;NA;304;380;490;679;934;1101;1317;1613;1906;NA;NA;NA;NA;NA;NA;NA;NA
SCRI01;122;4;44.53158;8.99203;365;595;Scrivia a Casella;Stura - Scrivia;no;NA;NA;NA;NA;275;344;443;614;845;996;1192;1460;1725;NA;NA;NA;NA;NA;NA;NA;NA
SCRISO;202;2;44.64476;8.95731;418;582;Scrivia a Isola del Cantone;Stura - Scrivia;no;NA;NA;NA;NA;358;448;578;801;1102;1299;1554;1904;2249;NA;NA;NA;NA;NA;NA;NA;NA
SCRMON;59;5;44.51561;9.04769;356;615;Scrivia a Montoggio;Stura - Scrivia;si;NA;NA;NA;NA;133;167;215;298;410;483;578;708;837;MONTG;44.51561;9.04769;433.22;3.5;4;5;15
SECCPO;46;3;44.46827;8.90415;335;563;Secca a Bolzaneto;Varenna - Polcevera;no;NA;NA;NA;NA;99;124;160;222;305;360;430;527;622;NA;NA;NA;NA;NA;NA;NA;NA
SEGN00;20;1;44.27019;8.43951;238;395;Segno foce;tra Centa e Quiliano;no;NA;NA;NA;NA;42;53;68;94;129;152;182;223;264;NA;NA;NA;NA;NA;NA;NA;NA
SLOR00;27;1;43.85273;7.96434;38;223;San Lorenzo foce;tra Argentina e Impero;no;NA;NA;NA;NA;52;65;84;117;161;189;226;277;328;NA;NA;NA;NA;NA;NA;NA;NA
SORI00;13;1;44.37178;9.10341;287;633;Sori foce;tra Bisagno ed Entella;no;NA;NA;NA;NA;46;58;74;103;141;167;200;244;289;NA;NA;NA;NA;NA;NA;NA;NA
STRL00;15;1;44.39625;8.98468;297;594;Sturla foce;tra Bisagno ed Entella;no;NA;NA;NA;NA;51;64;82;114;156;184;221;270;319;GSTUR;44.39625;8.98468;NA;1.2;1.5;2.4;15
STSGIU;12;3;44.41582;8.48252;309;410;Sansobbia a Stella S. Giustina;Sansobbia - Teiro;no;NA;NA;NA;NA;36;45;58;81;111;131;156;192;226;SSGIU;44.41582;8.48252;338.55;1.8;2;2.7;15
STUR00;126;3;44.35401;9.34767;280;722;Sturla a Carasco;Entella;no;225;300;460;300;270;337;435;602;829;977;1169;1432;1692;NA;NA;NA;NA;NA;NA;NA;NA
STUVIG;97;4;44.38149;9.3738;292;732;Sturla a Vignolo;Entella;si;158;210;330;210;218;273;352;487;671;791;946;1159;1369;VIGNO;44.38149;9.3738;66.02;2.7;3.2;4.1;15
TANA00;50;1;44.12388;7.81422;167;166;Tanarello confine;tra Argentina e Impero;no;NA;NA;NA;NA;70;88;114;157;216;255;305;374;442;NA;NA;NA;NA;NA;NA;NA;NA
TANAPN;135;8;44.1186;7.8686;165;188;Tanaro a Ponte di Nava;tra Argentina e Impero;si;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TEGLIA;293;NA;44.3355;9.9097;272;924;Magra a valle confluenza Teglia;Alto Magra;no;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TEIR00;28;1;44.35904;8.57779;280;444;Teiro foce;Sansobbia - Teiro;no;NA;NA;NA;NA;68;85;110;152;209;246;295;361;427;NA;NA;NA;NA;NA;NA;NA;NA
TIGLIE;75;1;44.52561;8.60839;361;455;Orba a Tiglieto;Erro - Orba;si;NA;NA;NA;NA;154;192;248;344;473;558;668;818;966;TIGLT;44.52561;8.60839;377.79;3.3;3.5;4.5;30
TORRIB;147;NA;43.83782;7.55404;130;77;Bevera a Torri;Roja;si;NA;160;242;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;TORRI;43.83782;7.55404;59.1;2;2.5;3.5;15
TREB00;145;1;44.60526;9.30419;400;707;Trebbia confine;Trebbia - Aveto;no;NA;NA;NA;NA;228;285;368;510;702;828;990;1213;1433;NA;NA;NA;NA;NA;NA;NA;NA
TREB01;41;3;44.52555;9.25026;362;688;Trebbia a Montebruno;Trebbia - Aveto;no;184;NA;NA;245;83;104;134;185;255;300;359;440;520;NA;NA;NA;NA;NA;NA;NA;NA
TREFON;7;5;44.50278;9.03114;351;608;Lationa a Trefontane;Stura - Scrivia;no;45;NA;NA;60;25;31;40;55;75;89;106;130;154;NA;NA;NA;NA;NA;NA;NA;NA
TREVAL;188;8;44.64024;9.33028;416;716;Trebbia a Valsigiara;Trebbia - Aveto;si;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TVRONE;609;NA;44.217;9.9634;217;948;Magra a valle confluenza Taverone;Alto Magra;no;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
USURAN;544;NA;44.19728;9.82666;207;895;Vara a valle confluenza Usurana;Vara;no;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
VARA00;42;1;44.11215;8.24512;163;325;Varatello foce;tra Centa e Quiliano;no;NA;NA;NA;NA;91;114;147;203;280;330;394;483;571;NA;NA;NA;NA;NA;NA;NA;NA
VARPEG;21;1;44.43671;8.82023;316;532;Varenna a Granara;Varenna - Polcevera;no;NA;NA;NA;NA;67;83;108;149;205;242;289;354;419;VAREN;44.43671;8.82023;NA;2;2.5;3.5;15
VCRO00;22;1;43.78351;7.64041;3;104;Vallecrosia foce;tra Nervia e Argentina;no;NA;NA;NA;NA;40;50;65;90;124;146;175;215;253;NA;NA;NA;NA;NA;NA;NA;NA
VOBBIE;53;2;44.63599;8.98149;415;590;Vobbia a Vobbietta;Stura - Scrivia;si;NA;NA;NA;NA;132;164;212;294;404;477;571;699;825;VOBBI;44.63599;8.98149;318.44;2.3;2.5;3.5;10
